2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,Name,1993,1992,1991,1990,ISO3
10.56252,9.7524,8.56388,4.1022,4.11596,4.5408,53.47136,59.3916,32.7316,28.1564,26.5396,21.555384,10.5092,10.5092,10.5092,8.236693877544,9.430603636348,15.52644,7.92576,6.43968,0.75852,Austria,,,,,AUT
0.68972,1.24184,1.118,2.47508,1.3244,0.5676,0.6708,,,,,,,,,,,,,,,Belgium,,,,,BEL
0.151044896,0.151044896,0.151044896,0.151044896,0.151044896,0.159715358724,0.168385821276,0.177056284,0.185726746724,0.194397209276,0.203067672,0.211738134724,0.220408597276,0.22907906,0.237749522724,0.246419985276,0.255090448,0.263760910724,0.272431373276,0.281101836,0.289772298724,Canada,0.298442761276,0.307113224,0.315783686724,0.324454149276,CAN
2.35296,3.82356,1.7974,,,,,,,,,,,,,,,,,,,Czech Republic,,,,,CZE
74.339224081068,68.492991964148,93.1290384431,127.22133417034,119.446191157172,77.369604336128,149.150632422208,163.03676748804,141.023426929852,155.965446411044,132.425271746812,146.820604989224,133.944841610532,82.369082539064,115.813276128828,60.790961401372,116.818673629288,103.422374691952,69.4206446022,43.481083627964,32.494030108916,European Union,29.44722859624,27.37071480848,25.486229029928,23.775889730364,
10.6296,10.6296,20.3992,31.3556,32.1296,24.9572,46.354,42.1056,29.756,31.2696,35.544820182568,30.46698872794,35.544820182568,28.445694444368,19.891693827152,28.409592493876,89.6997888,72.8315424,48.594816,26.5426272,24.129661090956,France,21.936055537264,19.94186867024,18.1289715184,16.480883198436,FRA
20.2788,16.0304,35.207000092,61.206666636,61.433666732,29.081333268,29.595868,12.0228,27.83992,34.48944,22.814366724,19.377233276,12.219166724,7.820266724,8.91605,6.685066724,7.583766724,7.8518,7.221133276,5.289716724,6.88,Germany,6.88,6.88,6.88,6.88,DEU
0.961015872964,0.900952380936,0.78082539688,,,,,37.668,28.208,28.38,18.0772,46.6292,46.5776,21.7752,49.1748,3.787666666588,4.19100000004,6.108666666672,4.719000000064,4.374333333396,,Ireland,,,,,IRL
28.1746666666,25.695999999964,24.93333333332,27.782333333256,20.17033333334,17.966666666652,18.78800000008,11.568333333336,22.201666666608,33.38133333336,28.860333333348,27.83733333328,28.060999999964,12.785666666696,25.628,12.212,4.644,,,,,Italy,,,,,ITA
830.718458569632,1360.95736567399,1255.57224938292,1561.29996890664,1369.46147154892,1166.67539751926,1173.15965386692,1210.1174562836,1093.43374395054,1249.8727115608,367.35833940564,299.13627155916,271.722833062316,195.052910487684,186.012616078876,282.58917107368,172.654668087492,172.779350425156,194.2741310511,202.814098845872,76.740469833708,Japan,43.851697047784,32.888772785924,32.888772785924,32.888772785924,JPN
0.291368,0.0559,,,,,,,,,,,,,,,,,,,,Lithuania,,,,,LTU
0.40358682,0.09478404,0.36162828,6.218316,8.45328744,5.0984154,0.082226664,,,,,,,,,,,,,,,Switzerland,,,,,CHE
0.398573541504,0.362339583076,0.329399621072,0.299454200912,0.272231091832,0.256004401476,0.270604422128,0.280434154704,0.286240263072,0.288673077856,0.588951506896,0.954465652004,1.033054704,1.033054704,1.693532301676,1.459941639364,1.269514469072,1.10392562528,0.959935326308,0.83472637074,0.72584901796,United Kingdom,0.631173059148,0.548846138412,0.477257511528,0.415006531756,GBR
490.436084869056,600.342162922652,631.9903120912,668.9316610252,562.170247661056,471.796632971868,595.280502868464,574.867499859348,701.351638085384,496.0699975186,551.286665189756,532.762575151472,556.238230633404,229.040863134056,205.737678618912,121.542986341272,119.775167312696,97.681870189508,92.431742127244,83.237130754636,65.892166540752,United States of America,59.90196958258,47.921575666064,47.921575666064,47.921575666064,USA
